entry	nb
24773178	1
3878638	1
19985408	1
13628	1
1174758	1
6817358	1
2393038	1
22588278	1
8710588	1
2877598	1
19924758	1
5827448	1
7475238	1
16654388	1
1466988	1
4960048	1
2886858	1
13238908	1
21503358	1
6715488	1
11602558	1
11805298	1
8124658	1
11597788	1
2318568	1
14836888	1
7549148	1
8122558	1
166958	1
5827328	1
1362438	1
8123238	1
15579598	1
8124278	1
19359488	1
5636228	1
14134208	1
4348038	1
24001068	1
8123098	1
6222068	1
11597768	1
2343758	1
8186718	1
5559938	1
4369568	1
2859698	1
24828468	1
8123458	1
15580718	1
7639578	1
7458068	1
7458028	1
8786358	1
15961488	1
10692208	1
24001488	1
301068	1
3433108	1
7978448	1
5636148	1
25006208	1
6714048	1
2034678	1
24001388	1
8123598	1
13239768	1
6221678	1
325648	1
1710248	1
2704238	1
1366608	1
26449708	1
2399398	1
7517718	1
12446138	1
14134288	1
4933148	1
2873968	1
14513258	1
6498238	1
5044578	1
10615068	1
9148	1
2308278	1
6710208	1
3328158	1
14211388	1
2868498	1
6221958	1
8217248	1
4162148	1
11215738	1
6153058	1
2685568	1
4959788	1
6222568	1
23087398	1
11308	1
6221778	1
3750978	1
8124098	1
15732558	1
15092108	1
13967108	1
9824298	1
11231758	1
8775478	1
6714988	1
3211138	1
7517518	1
8097268	1
3168278	1
8738648	1
2704118	1
737278	1
7475218	1
3924038	1
4499098	1
22199828	1
15737848	1
15228	1
5089208	1
8199918	1
2383148	1
7962858	1
3942968	1
8121868	1
19924518	1
1847008	1
2753178	1
707648	1
1423338	1
26454838	1
20349278	1
22736508	1
13666508	1
15579558	1
6971168	1
4894328	1
8123798	1
1856198	1
9824278	1
6714888	1
6971148	1
255828	1
7490908	1
7008858	1
8121198	1
24001528	1
8124118	1
2300018	1
6293138	1
4960508	1
6714348	1
1419368	1
4960308	1
7549128	1
4899608	1
25005848	1
8122338	1
5627798	1
15579578	1
21379458	1
823448	1
6154358	1
823428	1
2033208	1
2868728	1
5010038	1
5009958	1
5010158	1
15579638	1
14228	1
13663608	1
4634368	1
9375058	1
2701328	1
3428518	1
13182808	1
6222838	1
2868478	1
13182718	1
1375468	1
16509628	1
6716728	1
16299928	1
13182848	1
6388348	1
2308258	1
2513928	1
6222468	1
8124698	1
363108	1
4429078	1
6293098	1
2753218	1
6391248	1
6716748	1
4540308	1
27528	1
6222698	1
15462398	1
10482268	1
4960208	1
8121408	1
22688	1
746858	1
362548	1
9919738	1
6464158	1
13182698	1
10615408	1
6715868	1
14694498	1
15884218	1
21267048	1
895178	1
167088	1
3246998	1
6833798	1
854978	1
16299758	1
2859058	1
6783368	1
15425948	1
14088	1
2705218	1
8124858	1
5010198	1
4369598	1
13924608	1
23990028	1
23274548	1
25493798	1
6999868	1
1676738	1
13237368	1
1163228	1
14067508	1
15580818	1
6316678	1
13218888	1
7296438	1
9516338	1
5025528	1
7475198	1
1804708	1
13765058	1
24808	1
4016548	1
3643758	1
6277258	1
21503298	1
7000568	1
3760048	1
8636758	1
792238	1
943088	1
8644208	1
15580678	1
7043238	1
4369518	1
16593718	1
998008	1
1684598	1
3957948	1
2386718	1
1729268	1
13399938	1
6316918	1
7555758	1
25541648	1
6753178	1
16187988	1
1163268	1
5044618	1
250468	1
3199458	1
4442648	1
1301988	1
7433318	1
3776888	1
4369528	1
19358108	1
12059828	1
353968	1
2789968	1
7508168	1
7639518	1
7593338	1
22004618	1
3631398	1
24148	1
16214638	1
12901818	1
17347498	1
5735438	1
4960268	1
15953678	1
7905198	1
5088468	1
353928	1
8654848	1
22050538	1
4344188	1
7729748	1
20371508	1
389278	1
25068	1
13163178	1
4188228	1
4464778	1
5088308	1
15641388	1
4369658	1
8121588	1
5594968	1
2779888	1
6706018	1
12985108	1
22186978	1
14010058	1
2880058	1
17326738	1
5643318	1
7908	1
4616198	1
22454218	1
8988568	1
10611728	1
2950648	1
532928	1
2513948	1
2364738	1
7567508	1
1699638	1
972298	1
1386938	1
7905498	1
3959558	1
13162678	1
6456578	1
3383998	1
17448	1
6490278	1
7568	1
3672568	1
7905278	1
4269018	1
7978008	1
5365998	1
24715008	1
8740058	1
4409948	1
15953618	1
6293408	1
3160838	1
3634528	1
3463848	1
3672608	1
1420818	1
10609958	1
13705808	1
326238	1
10755208	1
8843088	1
2705178	1
7476308	1
5089168	1
2917998	1
25302818	1
3282678	1
25494518	1
6536998	1
6903108	1
14134358	1
10322038	1
5130628	1
22008	1
3342618	1
14210368	1
21761978	1
8122598	1
14067608	1
7491088	1
25648	1
2886318	1
13162898	1
4490278	1
15600548	1
3288948	1
7934258	1
1195408	1
1701308	1
8129928	1
11215818	1
9894998	1
8846688	1
11448	1
13163378	1
13280908	1
13163058	1
1893618	1
1183618	1
7135678	1
3936058	1
256998	1
365098	1
4094158	1
8759168	1
8468578	1
14211368	1
6458078	1
8210998	1
3644368	1
4369618	1
8123318	1
7103178	1
11302958	1
19641168	1
8124038	1
4846018	1
3345878	1
3300028	1
15738028	1
10954198	1
8337008	1
1514028	1
2199248	1
10929428	1
18927948	1
555818	1
11833498	1
2314328	1
958208	1
3132678	1
6431348	1
9888	1
7905358	1
6648538	1
5914498	1
1824498	1
4677498	1
9336508	1
13236348	1
3769118	1
16187848	1
4289828	1
4604178	1
20240348	1
6298578	1
286458	1
5025598	1
6998988	1
7458048	1
3686048	1
2311078	1
1162928	1
15882748	1
13608888	1
1748268	1
13248488	1
5628198	1
1504758	1
7633758	1
1304838	1
11597208	1
4933128	1
3986038	1
7049268	1
18659488	1
552168	1
7459098	1
8054318	1
8118648	1
15679828	1
11631378	1
13522598	1
12901118	1
16505848	1
7974258	1
5601558	1
24290068	1
9297568	1
255398	1
4425168	1
15637678	1
1304778	1
4972678	1
5715848	1
2795438	1
2852898	1
7207918	1
2868438	1
3471318	1
894498	1
5735498	1
22499508	1
1804668	1
6922198	1
565478	1
19910418	1
24448	1
6893578	1
3629868	1
9375118	1
2753118	1
2570798	1
8210838	1
9338108	1
6384038	1
3959798	1
6717758	1
6093898	1
7269518	1
15412798	1
19352408	1
15121498	1
2939708	1
7902078	1
4525218	1
8123738	1
193738	1
240718	1
1730158	1
14067588	1
8125888	1
7517598	1
3378898	1
2684398	1
24303078	1
8097848	1
6431328	1
24514388	1
1728598	1
248618	1
14135108	1
4960808	1
6189238	1
15092308	1
11068	1
3507808	1
360328	1
8765268	1
15857038	1
3767248	1
1711348	1
20180868	1
1505158	1
5010178	1
7536898	1
2683448	1
25488	1
12323388	1
13391358	1
2868708	1
4674218	1
7905258	1
15540178	1
7905298	1
15634328	1
19969308	1
15308	1
1304738	1
10805548	1
12890658	1
16128	1
19648	1
8702848	1
2032658	1
248048	1
7993918	1
7612498	1
3628408	1
22194638	1
4540448	1
24518328	1
1163548	1
4200688	1
6740878	1
256858	1
1848878	1
3986488	1
11148	1
2735488	1
14837028	1
6663458	1
1800158	1
6032858	1
16595718	1
1727538	1
15593948	1
6535908	1
2853928	1
3323918	1
3432888	1
17298138	1
14217198	1
5891788	1
1456908	1
6575208	1
6251868	1
16733068	1
6293038	1
2939648	1
5088168	1
7905238	1
3508128	1
16187948	1
5894238	1
15633628	1
14260218	1
9896008	1
14837048	1
7243178	1
3885408	1
3242808	1
4455738	1
1771468	1
9335068	1
8185808	1
15606988	1
2942578	1
3479918	1
7074858	1
13191208	1
728848	1
14837708	1
26014148	1
15958238	1
16788	1
8336988	1
331418	1
1684278	1
4833608	1
17201078	1
6972568	1
8645468	1
15579918	1
5560408	1
1461878	1
18136148	1
15672388	1
5087768	1
240658	1
5010018	1
12068238	1
12889818	1
10959768	1
3564668	1
11530408	1
7044698	1
7518778	1
1302118	1
16214598	1
2386858	1
8129948	1
8244448	1
4918998	1
4013868	1
1504998	1
9769168	1
4187868	1
15474988	1
283978	1
5928038	1
3934928	1
559808	1
5905898	1
1179058	1
16815078	1
12801498	1
4957298	1
6704308	1
17326298	1
4426798	1
8740458	1
4296738	1
14078738	1
12280238	1
6516078	1
14838148	1
2935138	1
7983258	1
3416668	1
21088938	1
775558	1
12416478	1
885928	1
2942558	1
5715818	1
13227888	1
4054848	1
15952898	1
13577418	1
18308	1
13608868	1
3160058	1
9895078	1
9896478	1
2704098	1
15417968	1
2391208	1
6959458	1
4989308	1
22568	1
3475178	1
11602668	1
3686088	1
247378	1
4186368	1
11348308	1
5421308	1
8508	1
6715408	1
2240188	1
8843358	1
13433078	1
6979148	1
1860798	1
3241948	1
8536738	1
7901898	1
5148548	1
986708	1
13065178	1
747058	1
4530228	1
16187928	1
1791818	1
11029548	1
4455838	1
2366038	1
16495058	1
3671308	1
17298118	1
11803568	1
8097368	1
13248818	1
6251888	1
2853908	1
1848758	1
389258	1
5703278	1
17347538	1
3282018	1
3160438	1
11570798	1
2881888	1
1203638	1
8759218	1
6498278	1
18658708	1
3471278	1
1351088	1
4161908	1
24528	1
6032818	1
4960668	1
3301218	1
3745258	1
11592498	1
2306718	1
4455818	1
5815758	1
2884248	1
3272168	1
6251928	1
3323938	1
3343458	1
4530308	1
4956978	1
5610298	1
2027418	1
21605208	1
20895908	1
596238	1
6973178	1
3155478	1
16888	1
6820648	1
3465058	1
5088908	1
8202718	1
16508068	1
12883718	1
7612458	1
6731868	1
8359718	1
12893778	1
193658	1
15781398	1
12323408	1
699178	1
8210658	1
6758008	1
5148088	1
241758	1
6500958	1
13168	1
7683038	1
6817518	1
8394578	1
7321048	1
7983058	1
2031178	1
6293248	1
14728438	1
5088848	1
2793958	1
502028	1
3300198	1
3638448	1
4269638	1
4319238	1
11231858	1
15474968	1
785048	1
14135338	1
749478	1
2213368	1
25791618	1
2391258	1
13488	1
8394938	1
8186138	1
730148	1
7868	1
3168458	1
5088288	1
9895968	1
6212518	1
220778	1
9415198	1
7187478	1
4054318	1
9899158	1
2033838	1
7469708	1
4569228	1
13146178	1
3416728	1
15470578	1
13707278	1
4899768	1
8123278	1
3959318	1
22925928	1
9030028	1
13400958	1
3052148	1
16186368	1
2587428	1
2034858	1
8336968	1
2300498	1
6960508	1
8109998	1
4164608	1
3384628	1
7905558	1
3989288	1
5344188	1
9747758	1
4972758	1
19228	1
9414698	1
3986648	1
1779228	1
6516098	1
5848198	1
13400978	1
8122898	1
5826348	1
5017248	1
1464038	1
5849278	1
3775408	1
3753518	1
